"Entity Name","GitHub Repo URL","Live Product URL","Product Type","Has Free Tier?","Free Tier Details","Lowest Paid Plan","Key Differentiator"
"Firecrawl","https://github.com/mendableai/firecrawl","https://www.firecrawl.dev","SaaS / API","Yes","500 one-time credits, 2 concurrent requests","Hobby: $16/mo (3,000 credits)","Scrape + Crawl + Search + Interact + Extract; credit-based with per-feature add-ons"
"Jina Reader","https://github.com/jina-ai/reader","https://jina.ai/reader","API","Yes","20 RPM w/o key; 500 RPM w/ key; 10M free tokens","Prototype: $50 for 1B tokens","Reader + Search + Grounding + DeepSearch; generous free API; token-based pricing"
"Apify (Crawlee)","https://github.com/apify/crawlee","https://apify.com","SaaS","Yes","$5/mo platform credits, 8 GB RAM, 25 concurrent","Starter: $29/mo","20,000+ Actors in Store; full cloud platform; compute-unit metering"
"Browser Use","https://github.com/browser-use/browser-use","https://browser-use.com","SaaS / API","Yes","10 agent tasks/mo, 3 concurrent sessions, 15 min max","Starter: $29/mo","AI agent + cloud stealth browsers; session-based; proxy data add-on"
"ScrapeGraphAI","https://github.com/ScrapeGraphAI/Scrapegraph-ai","https://scrapegraphai.com","SaaS / API","Yes","500 one-time credits, 10 req/min, 1 monitor","Starter: $17/mo (10K credits)","Graph-based AI scraping; SmartScraper + AgenticScraper; proxy rotation on paid tiers"
"Webclaw","https://github.com/0xMassi/webclaw","https://webclaw.io","SaaS / API","Yes","500 credits/month, no card required, 2 concurrent","Starter: $19/mo (10K credits)","Pure HTTP (no headless browser); Firecrawl-compatible API; 1 credit = 1 page, no multipliers"
"WebPeel","https://github.com/webpeel/webpeel","https://webpeel.dev","SaaS / API","Yes","500 fetches/week (~2,000/mo), burst 50/hr","Pro: $9/mo (~5,000/mo)","55+ domain-specific extractors; very affordable entry point; MCP built-in"
"CRW","https://github.com/us/crw","https://fastcrw.com","SaaS / API","Yes","500 credits/mo, 2 concurrent, community support","Hobby: $13/mo (3,000 credits)","6 output formats; /browse for browser automation; 6.6 MB single binary self-host; LightPanda CDP"
"Crawl4AI","https://github.com/unclecode/crawl4ai","https://crawl4ai.com","SaaS (Early Access)","Yes (self-hosted)","Fully free open-source; Cloud in early access with credit limits","Builder: $50/mo (sponsorship tier)","Primarily open-source library; Cloud SaaS still in early access; deep crawling + chunking for RAG"
"TeraCrawl","https://github.com/BrowserCash/teracrawl","N/A","Library","No","Requires Browser.cash API key (pay-per-request)","N/A","No independent hosted product; wraps Browser.cash commercial API"
"BrowserPilot","https://github.com/ai-naymul/BrowserPilot","N/A","Library","N/A","Fully free open-source; self-host only","N/A","Vision-first browser navigation; CAPTCHA solving; no SaaS"
"Webustler","https://github.com/DrRuin/webustler","N/A","Library","N/A","Fully free open-source; self-host only","N/A","MCP server for web scraping; Cloudflare bypass; self-hosted only"
"crawl4ai-mcp-server","https://github.com/sadiuysal/crawl4ai-mcp-server","N/A","Library","N/A","Fully free open-source; self-host only","N/A","MCP wrapper around Crawl4AI library; no independent SaaS"
"Playwright MCP","https://github.com/microsoft/playwright-mcp","N/A","Library","N/A","Fully free open-source; self-host only","N/A","MCP interface for Microsoft Playwright; npm package; no cloud product"
"Trafilatura","https://github.com/adbar/trafilatura","N/A","Library","N/A","Fully free open-source; self-host only","N/A","Python package + CLI for web text extraction; no hosted API"
"Mozilla Readability","https://github.com/mozilla/readability","N/A","Library","N/A","Fully free open-source; self-host only","N/A","JS library powering Firefox Reader View; no hosted API"
