priority,bet_name,problem_cluster,target_surface,user_problem,proposed_response,horizon,confidence,build_scope,success_metric,main_risk
1,Structural fidelity layer,document_fidelity_and_structure,homepage_and_batch,"Users get output that looks finished but loses tables, headings, lists, code blocks, or document hierarchy.","Add structure-aware quality checks, degradation warnings, and clearer output fidelity signals for documents and page extraction.",now,high,medium,"Lower silent-quality failures and better output trust.","Complex quality heuristics may create false warnings."
2,Honeymoon retention flow,onboarding_and_honeymoon_gap,homepage_and_batch,"Users get a quick first win but lose trust on the first real edge case.","Improve first-run guidance, explain edge-case outcomes better, and add clearer next-step feedback after extraction.",now,high,small,"Lower abandonment after first non-trivial extraction.","May improve messaging without fixing root causes if done superficially."
3,Renderer transparency,dynamic_pages_and_renderer_visibility,homepage,"Users cannot tell whether an incomplete result came from a static read, page complexity, or a harder rendering need.","Expose extraction path and dynamic-page likelihood signals so users know what Oleriq actually saw.",now,medium,medium,"Fewer confusing incomplete-output reports.","Could surface limits more visibly before a fallback exists."
4,Outcome truth model,reliability_truthfulness,homepage_and_batch,"Users lose trust when jobs look successful but return empty or partial output.","Separate processed, usable, partial, and failed states with explicit reasons.",now,high,medium,"Fewer false-success moments and fewer empty-output surprises.","Requires careful state design across both single and batch flows."
5,Lightweight diagnostics,debugging_and_replay_visibility,batch_first,"Users need better reasons, retry guidance, and per-item visibility without a full agent replay stack.","Add per-item diagnostics, retry hints, and stronger failure reporting in batch and export flows.",now,medium,medium,"Lower support burden and faster self-serve recovery.","Too much detail can overwhelm non-technical users if not staged well."
6,Predictable packaging and limits,pricing_and_token_predictability,product_packaging,"Buyers distrust products with surprise consumption or unclear cost shape.","Keep limits explicit and present usage economics in a simple, predictable way.",soon,medium,small,"Higher willingness to try recurring workflows.","Packaging work can distract from product-truth problems if over-prioritized."
7,Deterministic batch control,batch_and_job_control,batch,"Teams want more confidence in filenames, reruns, and queue truth as batch usage grows.","Improve deterministic output naming, per-item job clarity, and rerun behavior.",soon,medium,medium,"Better repeatability in batch operations.","Adds operational surface area to maintain."
8,Structured extraction extensions,structured_extraction_and_schema_control,new_optional_surface,"Users want more than markdown when trust is already established.","Offer targeted structured extraction options only after fidelity and truth surfaces improve.",soon,medium,medium,"Higher-value workflows without full crawler-platform sprawl.","Users may expect more coverage than Oleriq can honestly support."
9,Agent-facing packaging,agent_packaging_and_mcp_setup,tool_facing_expansion,"Some users will want Oleriq inside agent workflows, but that is not the current core promise.","Defer MCP and deeper tool-facing packaging until the core trust layer is stronger.",later,low,large,"Optional future expansion path.","Premature agent expansion can bloat scope and dilute the product."
10,Protected-site escalation,anti_bot_and_protected_site_pressure,separate_future_line,"Demand exists for harder pages, but the cost and complexity are high.","Treat anti-bot handling as a later escalation path or partnership problem rather than a near-term default promise.",later,medium,large,"Avoids overpromising on hostile-site coverage.","Competitors may market breadth more aggressively in the meantime."
